Epoch;Batch;Loss;Grad_Norm;Weight_Change;Bias
1;1;0.9146586028674827;0.01423001941293478;0.04999987781047821;-0.04999997839331627
1;2;1.074204008010379;0.07147067040205002;0.043030232191085815;-0.09506482630968094
1;3;1.0299667556464587;0.14107877016067505;0.043640490621328354;-0.1147543340921402
1;4;0.9387115445030032;0.19805872440338135;0.0450279526412487;-0.09159756451845169
2;1;1.0270538339716653;0.029222439974546432;0.040930215269327164;-0.07018054276704788
2;2;1.0187137712460885;0.08549311012029648;0.04174186289310455;-0.044469740241765976
2;3;1.107193560938646;0.09548136591911316;0.04282239079475403;-0.03509649634361267
2;4;1.106173058864707;0.0420638732612133;0.040962155908346176;-0.043131761252880096
3;1;0.9903709361866727;0.1135321781039238;0.04278932139277458;-0.05829930678009987
3;2;1.0256406649230343;0.013359344564378262;0.039196986705064774;-0.06983374804258347
3;3;0.9813102331976197;0.0632924810051918;0.03924242779612541;-0.09315284341573715
3;4;0.9897553040921931;0.022618958726525307;0.03691267967224121;-0.11005951464176178
4;1;0.9460333437848023;0.07432088255882263;0.03790290653705597;-0.1229158341884613
4;2;0.9330625356076444;0.010115972720086575;0.0334736667573452;-0.13176092505455017
4;3;0.9733883132254083;0.06300376355648041;0.034362826496362686;-0.1498839408159256
4;4;0.9729669937291903;0.012981206178665161;0.03207588940858841;-0.15814116597175598
5;1;0.9377760888717173;0.017646221444010735;0.03037261962890625;-0.15409761667251587
5;2;0.9380648270164508;0.03297814354300499;0.02498614229261875;-0.14505848288536072
5;3;0.9263506462443492;0.04552336782217026;0.019099896773695946;-0.1366613209247589
5;4;0.9483199837591013;0.019905108958482742;0.01583999954164028;-0.13133706152439117
6;1;0.9504944627909705;0.06488843262195587;0.009299933910369873;-0.1208314448595047
6;2;0.9032380510314437;0.006009346805512905;0.00800943374633789;-0.12415102124214172
6;3;0.9436852251558496;0.050601061433553696;0.0033857226371765137;-0.11502204835414886
6;4;0.9321633581491202;0.04053433611989021;1.9729137420654297e-05;-0.10000709444284439
7;1;0.9409687097569429;0.049937739968299866;0.003786444664001465;-0.08455076813697815
7;2;0.9091479691220359;0.19457177817821503;0.010107338428497314;-0.060635581612586975
7;3;0.9393669576765347;0.13227127492427826;0.000167546168086119;-0.04903431981801987
7;4;0.9257262390223889;0.045875247567892075;0.0031461119651794434;-0.03619903326034546
8;1;0.9182214082459154;0.1867971271276474;0.008674624375998974;-0.024822324514389038
8;2;0.937440526482866;0.06737557053565979;0.011904120445251465;-0.013500269502401352
8;3;0.9049139728701725;0.10310900956392288;0.004414916038513184;0.0019240323454141617
8;4;0.9507179745783219;0.010976644232869148;0.003355562686920166;0.008653126657009125
9;1;0.9398849022677802;0.04578704386949539;0.0002460479736328125;0.015139486640691757
9;2;0.910724637453454;0.020793719217181206;0.0010603666305541992;0.019953899085521698
9;3;1.0158615482482514;0.010467865504324436;0.0003113746643066406;0.013996297493577003
9;4;0.8365764641356332;0.13019683957099915;0.008219897747039795;0.01530598383396864
10;1;0.9144648369700776;0.009926152415573597;0.0068703293800354;0.015382826328277588
10;2;0.8896418492028753;0.021735770627856255;0.007605075836181641;0.01750599965453148
10;3;0.9978141143404304;0.11051943898200989;5.018462616135366e-05;0.011269351467490196
10;4;0.9132779150515397;0.06333210319280624;0.003870489774271846;0.0072294012643396854
11;1;0.820516128607351;0.04893345758318901;0.0065519860945641994;0.0103518757969141
11;2;0.9427515895347057;0.06069258227944374;0.0021280646324157715;0.010334999300539494
11;3;0.9897237012556896;0.00997204054147005;0.002565557835623622;0.0025912178680300713
11;4;0.9687240598512493;0.0081379609182477;0.0018140077590942383;-0.006434123031795025
12;1;0.8527448133018716;0.1009170338511467;0.008009254932403564;-0.008026163093745708
12;2;0.891841485783256;0.03358668088912964;0.005124325398355722;-0.009315993636846542
12;3;1.009239801519267;0.07110445946455002;7.212162017822266e-05;-0.016281673684716225
12;4;0.9676221163938554;0.04915546625852585;0.0030955125112086535;-0.028185490518808365
13;1;0.9531108558192647;0.11963976174592972;0.010329067707061768;-0.04223789647221565
13;2;0.9407013695276032;0.03955751284956932;0.011888504028320312;-0.05190929025411606
13;3;0.9534814201318563;0.056761570274829865;0.014385402202606201;-0.06590890139341354
13;4;0.8758547262805823;0.038885727524757385;0.010527372360229492;-0.07187128067016602
14;1;0.964911594386677;0.009641359560191631;0.01019054651260376;-0.0819789320230484
14;2;0.8795199664844863;0.04438479244709015;0.012136578559875488;-0.0928615853190422
14;3;0.9122749158354377;0.057765744626522064;0.007162332534790039;-0.10144197940826416
14;4;0.9248574200687725;0.020028691738843918;0.007828772068023682;-0.10833724588155746
15;1;0.9283237514201762;0.022580327466130257;0.00861281156539917;-0.11095006763935089
15;2;0.9525765957090319;0.009960340335965157;0.007146120071411133;-0.11016644537448883
15;3;0.9256785782056163;0.07708980143070221;0.0012301802635192871;-0.10392704606056213
15;4;0.9402744405371787;0.11602780967950821;0.0066301822662353516;-0.09508790820837021
